id;transcription;domain;intent;slots
3370;Dime que teño que facer para cambiar o contrasinal;chavetres seis cinco;modify_password;
3371;Como fago para cambiar o contrasinal da miña chave?;chavetres seis cinco;modify_password;
3372;Dime que preciso para trocar a clave de chave tres seis cinco;chavetres seis cinco;modify_password;
3373;Poderíasme axudar a restablecer o meu contrasinal?;chavetres seis cinco;modify_password;
3374;A onde teño que ir para renovar o meu acceso á chave?;chavetres seis cinco;modify_password;
3375;Caducóuseme o contrasinal, que fago?;chavetres seis cinco;expired_password;
3376;Non lembro o meu contrasinal;chavetres seis cinco;expired_password;
3377;Esquecín o contrasinal da chave e non sei que facer;chavetres seis cinco;expired_password;
3378;Xa non recordo como era a clave de acceso;chavetres seis cinco;expired_password;
3379;Que fago se xa non me funciona a chave porque me caducou o contrasinal?;chavetres seis cinco;expired_password;
3380;Xa non me lembro do contrasinal, como podo recuperalo?;chavetres seis cinco;expired_password;
3381;Quen pode solicitar unha valoración do grao de discapacidade?;grao_discapacidade;who_can_apply;
3382;Podo pedilo se son galega e vivo fóra de España?;grao_discapacidade;who_can_apply;
3383;Podo solicitalo se son estranxeiro?;grao_discapacidade;who_can_apply;
3384;Unha persoa estranxeira pode solicitar a valoración da súa discapacidade?;grao_discapacidade;who_can_apply;
3385;Di quen pode pedir esta valoración;grao_discapacidade;who_can_apply;
3386;Quen pode pedir que lle recoñezan a discapacidade?;grao_discapacidade;who_can_apply;
3387;Como presento a solicitude?;grao_discapacidade;application_procedure;
3388;Como podo solicitar a valoración do grao de discapacidade?;grao_discapacidade;application_procedure;
3389;E como fago para pedir que me valoren?;grao_discapacidade;application_procedure;
3390;Gustaríame iniciar o proceso de solicitude do recoñecemento;grao_discapacidade;application_procedure;
3391;Non sei que teño que facer para comezar a tramitación do recoñecemento de discapacidade;grao_discapacidade;application_procedure;
3392;Por onde empezo?;grao_discapacidade;application_procedure;
3393;Onde solicito unha revisión do meu grao de discapacidade?;grao_discapacidade;review_request;
3394;Quero solicitar unha revisión;grao_discapacidade;review_request;
3395;Axuda para solicitar a revisión do grao de discapacidade;grao_discapacidade;review_request;
3396;Onde pido a revisión da miña valoración?;grao_discapacidade;review_request;
3397;Como podo actualizar o grao de discapacidade?;grao_discapacidade;review_request;
3398;Poderían volver a facerme o recoñecemento?;grao_discapacidade;review_request;
3399;Cando podo solicitar unha revisión?;grao_discapacidade;review_time;
3400;Canto tempo ten que transcorrer para poder solicitar a revisión da miña valoración da discapacidade?;grao_discapacidade;review_time;
3401;Cando podo pedir unha revisión da miña valoración?;grao_discapacidade;review_time;
3402;Dime cando podo pedir unha revisión do recoñecemento;grao_discapacidade;review_time;
3403;Poderías dicirnos cando podemos volver a pedir unha valoración?;grao_discapacidade;review_time;
3404;Cal é o tempo establecido para poder pedir unha revisión?;grao_discapacidade;review_time;
3405;Sabes como me avisan da revisión?;grao_discapacidade;review_alert;
3406;De que xeito me avisan das revisións?;grao_discapacidade;review_alert;
3407;Cando notifican os avisos de revisión?;grao_discapacidade;review_alert;
3408;Notifícanme cando me toque a revisión?;grao_discapacidade;review_alert;
3409;En que momento me van avisar se quero pedir unha revisión?;grao_discapacidade;review_alert;
3410;Chaman cando teña que facer a revisión?;grao_discapacidade;review_alert;
3411;Que é a tarxeta de discapacidade?;grao_discapacidade;disability_card_definition;
3412;A tarxeta de discapacidade, vale fóra de Galicia?;grao_discapacidade;disability_card_definition;
3413;Podes dicirnos a utilidade da tarxeta de discapacidade?;grao_discapacidade;disability_card_definition;
3414;E para que vale esta tarxeta?;grao_discapacidade;disability_card_definition;
3415;Como funciona a tarxeta de discapacidade?;grao_discapacidade;disability_card_definition;
3416;Non sei que é a tarxeta de discapacidade;grao_discapacidade;disability_card_definition;
3417;Extraviei a miña tarxeta de discapacidade, como podo solicitar outra?;grao_discapacidade;disability_card_application_theft_loss;
3418;Roubáronlle a tarxeta de discapacidade á miña filla;grao_discapacidade;disability_card_application_theft_loss;
3419;Roubáronme a tarxeta de discapacidade;grao_discapacidade;disability_card_application_theft_loss;
3420;Que fago se non atopo a miña tarxeta?;grao_discapacidade;disability_card_application_theft_loss;
3421;Quero pedir de novo unha tarxeta porque perdín a miña;grao_discapacidade;disability_card_application_theft_loss;
3422;Non dou localizado a miña tarxeta, teño dereito a unha nova?;grao_discapacidade;disability_card_application_theft_loss;
3423;Onde podo atopar os beneficios da tarxeta de discapacidade?;grao_discapacidade;disability_card_benefits;
3424;Cales son os beneficios de ter a tarxeta de discapacidade?;grao_discapacidade;disability_card_benefits;
3425;Onde podo empregar a tarxeta?;grao_discapacidade;disability_card_benefits;
3426;Cales son as vantaxes de empregar a tarxeta?;grao_discapacidade;disability_card_benefits;
3427;Dáme información de onde podo utilizar a tarxeta;grao_discapacidade;disability_card_benefits;
3428;Quero saber en que sitios podo empregar a tarxeta;grao_discapacidade;disability_card_benefits;
3429;Que documentación preciso para presentar a solicitude?;grao_discapacidade;documentation;
3430;Podes botarme unha man coa documentación necesaria?;grao_discapacidade;documentation;
3431;Necesito achegar algún tipo de documentación?;grao_discapacidade;documentation;
3432;Que arquivos teño que enviar para facer a solicitude?;grao_discapacidade;documentation;
3433;Podes dicirme que informes teño que presentar para a solicitude?;grao_discapacidade;documentation;
3434;Cales son os documentos a presentar na sede xunto coa solicitude?;grao_discapacidade;documentation;
3435;Desde cando ten validez o recoñecemento?;grao_discapacidade;validity;
3436;Canto dura o recoñecemento?;grao_discapacidade;validity;
3437;Cal é a vixencia da resolución?;grao_discapacidade;validity;
3438;Onde podo ver ata cando dura o recoñecemento?;grao_discapacidade;validity;
3439;Sabes cal é a duración?;grao_discapacidade;validity;
3440;Sabes onde vén especificada a vixencia do recoñecemento?;grao_discapacidade;validity;
3441;Que é a Tarxeta Benvida?;tarxeta_benvida;tarxeta_benvida_definition;
3442;Para que serve a Tarxeta Benvida?;tarxeta_benvida;tarxeta_benvida_definition;
3443;Gustaríanos saber que é a Tarxeta Benvida;tarxeta_benvida;tarxeta_benvida_definition;
3444;Non sei para que serve esta tarxeta;tarxeta_benvida;tarxeta_benvida_definition;
3445;A Tarxeta Benvida para que serve?;tarxeta_benvida;tarxeta_benvida_definition;
3446;Quero saber que é a tarxeta;tarxeta_benvida;tarxeta_benvida_definition;
3447;Quen pode beneficiarse desta axuda?;tarxeta_benvida;beneficiaries;
3448;Sabes quen pode pedir esta axuda?;tarxeta_benvida;beneficiaries;
3449;Non teño claro se podo pedir a tarxeta;tarxeta_benvida;beneficiaries;
3450;Esta axuda económica, a quen vai dirixida?;tarxeta_benvida;beneficiaries;
3451;Dime quen pode pedir a Tarxeta Benvida;tarxeta_benvida;beneficiaries;
3452;Quen pode solicitala?;tarxeta_benvida;beneficiaries;
3453;Cal é o prazo para a resolución da miña solicitude?;tarxeta_benvida;resolution_time;
3454;Canto tempo tardan en valorar?;tarxeta_benvida;resolution_time;
3455;Canto tempo teño que esperar por unha resposta?;tarxeta_benvida;resolution_time;
3456;Sabes cal é o tempo que tardan en resolver?;tarxeta_benvida;resolution_time;
3457;Tardan moito en enviarche a tarxeta?;tarxeta_benvida;resolution_time;
3458;Canto soen tardar en aceptar ou denegar a solicitude?;tarxeta_benvida;resolution_time;
3459;Cales son os requisitos para obter a axuda?;tarxeta_benvida;requirements;
3460;Non sei os requisitos de acceso á tarxeta;tarxeta_benvida;requirements;
3461;Que preciso para acceder á axuda?;tarxeta_benvida;requirements;
3462;Quero saber os requisitos para obter a Tarxeta Benvida;tarxeta_benvida;requirements;
3463;Que condicións son imprescindibles para que cha dean?;tarxeta_benvida;requirements;
3464;Dime os requisitos desta prestación, por favor;tarxeta_benvida;requirements;
3465;Cal e o importe da prestación?;tarxeta_benvida;quantities;
3466;E cantos cartos dan de axuda?;tarxeta_benvida;quantities;
3467;Poderías dicirme cal é o importe da axuda na miña situación?;tarxeta_benvida;quantities;
3468;Canto me pagarán en total?;tarxeta_benvida;quantities;
3469;Cal é a contía da axuda?;tarxeta_benvida;quantities;
3470;Non sei o diñeiro que teño dispoñible coa axuda;tarxeta_benvida;quantities;
3471;Cal é o prazo para presentar a solicitude?;tarxeta_benvida;submission_deadline;
3472;Cando podo presentar a solicitude para obter a tarxeta?;tarxeta_benvida;submission_deadline;
3473;Canto tempo teño para solicitala?;tarxeta_benvida;submission_deadline;
3474;Gustaríame saber cal é o prazo no que podo pedir a Tarxeta Benvida;tarxeta_benvida;submission_deadline;
3475;Sabes cal é o prazo de presentación?;tarxeta_benvida;submission_deadline;
3476;E cando podo pedir a tarxeta?;tarxeta_benvida;submission_deadline;
3477;Onde podo utilizar a tarxeta?;tarxeta_benvida;locations_of_use;
3478;En que tendas podo mercar con ela?;tarxeta_benvida;locations_of_use;
3479;Quero que me digas onde podo utilizar a Tarxeta Benvida;tarxeta_benvida;locations_of_use;
3480;Cales son os establecementos onde admiten a tarxeta?;tarxeta_benvida;locations_of_use;
3481;E onde podo pagar con ela?;tarxeta_benvida;locations_of_use;
3482;Sabes en que sitios podo empregar a tarxeta?;tarxeta_benvida;locations_of_use;
3483;Que podo mercar coa tarxeta?;tarxeta_benvida;accepted_products;
3484;Dime os produtos que se poden comprar coa Tarxeta Benvida;tarxeta_benvida;accepted_products;
3485;Dime o listado de produtos que podo mercar coa tarxeta;tarxeta_benvida;accepted_products;
3486;Que se pode comprar con ela?;tarxeta_benvida;accepted_products;
3487;A tarxeta permíteme comprar todo o que queira?;tarxeta_benvida;accepted_products;
3488;Non sei que produtos se poden mercar coa tarxeta;tarxeta_benvida;accepted_products;
3489;Cal é a vixencia da miña tarxeta?;tarxeta_benvida;validity;
3490;Cando caduca a miña tarxeta?;tarxeta_benvida;validity;
3491;Ata cando dura a tarxeta?;tarxeta_benvida;validity;
3492;Como sei canto dura a Tarxeta Benvida?;tarxeta_benvida;validity;
3493;Quero saber cando caduca a miña tarxeta;tarxeta_benvida;validity;
3494;Ata cando podo empregar a miña Tarxeta Benvida?;tarxeta_benvida;validity;
3495;Teño que declarar a axuda da tarxeta?;tarxeta_benvida;card_aid_declaration;
3496;Como fago para declarar o que me dean coa tarxeta?;tarxeta_benvida;card_aid_declaration;
3497;Esta axuda da Tarxeta Benvida, hai que declarala?;tarxeta_benvida;card_aid_declaration;
